Partner-/Kundenummer;Datum;Datumformat
61104114;08.11.2017;20171108
61280018;08.11.2017;20171108
61170321;08.11.2017;20171108
61350274;08.11.2017;20171108
61290815;08.11.2017;20171108
61170200;08.11.2017;20171108
61170215;08.11.2017;20171108
61401415;08.11.2017;20171108
61401918;08.11.2017;20171108
61402897;08.11.2017;20171108
61280053;08.11.2017;20171108
61102555;08.11.2017;20171108
61102294;08.11.2017;20171108
61230088;08.11.2017;20171108
61302632;08.11.2017;20171108
61350294;08.11.2017;20171108
61103519;08.11.2017;20171108
61401071;08.11.2017;20171108
61402685;08.11.2017;20171108
61102454;08.11.2017;20171108
61633462;08.11.2017;20171108
61633457;08.11.2017;20171108
61340043;08.11.2017;20171108
61633497;08.11.2017;20171108
61633303;08.11.2017;20171108
61350066;08.11.2017;20171108
61633338;08.11.2017;20171108
61210235;08.11.2017;20171108
61100508;08.11.2017;20171108
61110039;08.11.2017;20171108
61236564;08.11.2017;20171108
61340030;08.11.2017;20171108
61280034;08.11.2017;20171108
61110018;08.11.2017;20171108
61103618;08.11.2017;20171108
61302682;08.11.2017;20171108
61120254;08.11.2017;20171108
61103076;08.11.2017;20171108
61300042;08.11.2017;20171108
61633487;08.11.2017;20171108
61633167;08.11.2017;20171108
61303159;08.11.2017;20171108
61402529;08.11.2017;20171108
61627448;09.11.2017;20171109
61306030;09.11.2017;20171109
61120152;09.11.2017;20171109
61170259;09.11.2017;20171109
61101291;09.11.2017;20171109
61170093;09.11.2017;20171109
61170366;09.11.2017;20171109
61305912;09.11.2017;20171109
61304304;09.11.2017;20171109
61100332;09.11.2017;20171109
61403202;09.11.2017;20171109
61304726;09.11.2017;20171109
61102762;09.11.2017;20171109
61100727;09.11.2017;20171109
61305280;09.11.2017;20171109
61103911;09.11.2017;20171109
61236738;09.11.2017;20171109
61302130;09.11.2017;20171109
61306076;09.11.2017;20171109
61402411;09.11.2017;20171109
61305114;09.11.2017;20171109
61210201;09.11.2017;20171109
61609360;09.11.2017;20171109
61302493;09.11.2017;20171109
61303317;09.11.2017;20171109
61103453;09.11.2017;20171109
61403516;09.11.2017;20171109
61236754;09.11.2017;20171109
61103526;09.11.2017;20171109
61103886;09.11.2017;20171109
61104278;09.11.2017;20171109
61609225;09.11.2017;20171109
61609253;09.11.2017;20171109
61104154;09.11.2017;20171109
61609065;09.11.2017;20171109
61402838;09.11.2017;20171109
61609012;09.11.2017;20171109
61304030;09.11.2017;20171109
61402486;09.11.2017;20171109
61200029;09.11.2017;20171109
61120011;09.11.2017;20171109
61303621;09.11.2017;20171109
